2,count
GRUNHE,96
OCAREZ,95
JELVEZ,95
LEVINERI,95
CONA,95
BOSSI,95
CHILIQUINGA,95
CORRALES,95
HENRÍQUEZ,95
JARPA,95
BALBONTIN,95
GUICHARD,94
LANDAURO,94
LINCOPAN,94
PARY,94
TERAN,94
EYZAGUIRRE,94
MONSALVES,94
REALZA,94
IKA,94
POLGATTI,94
COTAL,94
MARCEL,94
JAMES,93
ASTUDILLA,93
MEGIAS,93
IGOR,93
CARHUATANTA,93
OYANADEL,93
SAZO,93
TAMBURINI,93
BRULL,93
ALAMOS,93
CAICEDO,92
LADRON,92
LOUISSAINT,92
ISAMIT,92
ARGEL,92
DONAIRE,92
LOZANO,92
IRULAO,92
RAMONES,92
HASTA,91
CESAREO,91
ANDAUR,91
LINCOCHEO,91
CHANQUEY,91
CARRERAS,91
CASTELLANO,91
TILLERIA,91
NAVAS,91
ARANGO,91
HUIRITRAY,91
CHEUQUEPIL,91
CAÑAZAREZ,90
FORTUNA,90
DASSONVALLE,90
CALVIN,90
VELEZ,90
SOLORZA,90
WALKER,89
FAJARDO,89
RUEDA,89
CAJIAO,89
BRANCHE,88
CHUQULIN,88
TIFFI,88
VORPAHL,88
MONTAÑA,88
TEBRICH,88
LAMBERT,88
TIZNAO,88
HUENCHUAL,88
CURAPIL,88
MELILLAN,88
JAUREGUI,88
PINEDO,87
NOVA,87
JOUSEME,87
FELIX,87
MILLAÑIR,87
MURGAS,86
NICUL,86
MONTERRASA,86
MILLAQUEN,86
NARVAREZ,86
NEUTULPAN,85
CHIHUICURA,85
ESCARAS,85
MONTALVA,85
MEJIA,85
CANIUQUEO,85
FLORIANO,85
PRECIADO,85
LLANO,85
SALCEDO,85
CARDONA,85
MARY,85
MAQUERA,85
CURILEN,84
NINAHUANCA,84
BULNES,84
PANNAGUIRRE,84
SIEYES,84
MARINAO,84
COLIPI,84
PANCHILLA,83
ANCATEN,83
QUINTRIQUEO,83
DAVILA,83
BORDON,83
BALLESTERO,83
TOSO,83
DIOSES,83
WACHTENDORF,82
CARIHUAL,82
SARAVA,82
TORREJON,82
RICO,82
LLAUPE,81
BIZARRO,81
MAGAÑA,81
COSANO,81
PUENTES,81
CARRION,81
DUCAUD,81
OGAS,81
MINA,81
BAHAMONDE,80
CONSUEGRA,80
YARUR,80
ERICKSEN,80
MALMBORG,80
PINOLEO,80
REASCOS,80
RATHGEB,80
ILLANES,80
TROMELAO,80
DORCIN,80
HOYOS,80
PAYLLACAN,80
FAUNEZ,79
PETERSEN,79
MARCHAN,79
MUÑIZ,79
DANIEL,79
ZELAYA,79
ALCATRUZ,79
CARVALLLO,79
ESPINOLA,79
HUENCHUL,79
BOZO,78
AVELIN,78
COLIHUINCA,78
ANDRADES,78
ADRIAZOLA,78
PIRELA,78
VILAZA,78
QUILA,78
TAJ,78
HUENUAN,78
GIRALDO,78
CALZADILLA,78
DUEÑAS,78
